ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
WARN  | pbft_engine::engine: | InvalidMessage: NewView failed verification - Error was: InvalidMessage: Received NewView message for view 1151665 that is not from the primary for that view
WARN  | pbft_engine::engine: | View change timeout expired; proposing view change for view 1151666
WARN  | pbft_engine::engine: | View change timeout expired; proposing view change for view 1151667
ERROR | pbft_engine::engine: | InternalError: Received block 31168 / "39c64bc5479d1417c68125ffdc9d497e69676bac22c388648b58014b719f7eaf39a7319097a5cda6fb96c87d10669415bf5fe381f9b11d0ef8df0c1cadeb4d30" but node does not have previous block "aa9996d49979713c06253738085b3d67f981e0689e4a147c1f63a27d13691a8e39844412c9a69a4d471c06d2497b1e4e8e0d3fee2181ea09bcb8c62981c013fa"
ERROR | pbft_engine::engine: | InternalError: Received block 31168 / "1a5b10e110a158bc86ace2a56b7687e630f1f36309fe1f9f61a0860458c3208228551107e605854553dbe39bb2f52c55d0c0426de3d0207eda9757d5ece66248" but node does not have previous block "aa9996d49979713c06253738085b3d67f981e0689e4a147c1f63a27d13691a8e39844412c9a69a4d471c06d2497b1e4e8e0d3fee2181ea09bcb8c62981c013fa"
